,"Graphics Card Database
Maintained by Nathan Mayer Since 2005",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,GPU Clockspeed*,Memory Clockspeed,Core Configuration*,GPU,Memory Size (MB),Buswidth (bits),Max Pixel Fillrate (MP/s),Max Texel Fillrate (MT/s),Max Shader Performance (MFLOPS),Max Bandwidth (MB/s),Vertex Proc.,"Max Vertices
(in millions)",DirectX Gen,Memory Type*,Process Size,Transistors,Bus Slot,Ext. Power,"Target Market
at Introduction","Year of
Release",Notes
Radeon 9600XT,500,600(300),4 PP/TMU/ROP,RV360,128-256,128,2000,2000,24000,9600,2,250,DX9,DDR(BGA),130nm,75m,AGP8X,no,Upper Mainstream,2003,
Radeon 9700,275,550(275),8 PP/TMU/ROP,R300,128,256,2200,2200,26400,17600,4,275,DX9,DDR(BGA),150nm,107m,AGP8X,4pin,Highend,2002,
Radeon 9700 Pro,325,620(310),8 PP/TMU/ROP,R300,128,256,2600,2600,31200,19840,4,325,DX9,DDR(BGA),150nm,107m,AGP8X,4pin,Enthusiast,2002,"First to have a 256-bit memory interface, and DX9 support."
Radeon 9700TX,270,540(270),8 PP/TMU/ROP,R300,128,256,2160,2160,25920,17280,4,270,DX9,DDR(BGA),150nm,107m,AGP8X,4pin,OEM,2002,
Radeon 9800,325,580(290),8 PP/TMU/ROP,R350,128-256,128-256,2600,2600,31200,18560,4,325,DX9,DDR(BGA),150nm,115m,AGP8X,4pin,Highend,2003,
Radeon 9800SE,"325, 380","580(290), 600(300), 680(340)",4 PP/TMU/ROP,R350,128-256,128-256,1520,1520,36480,21760,4,380,DX9,DDR(BGA),150nm,115m,AGP8X,4pin,Upper Mainstream,2003,
Radeon 9800 Pro,380,680(340)-700(350),8 PP/TMU/ROP,R350,128-256,256,3040,3040,36480,22400,4,380,DX9,"DDR(BGA),GDDR2",150nm,115m,AGP8X,4pin,Enthusiast,2003,
Radeon 9800XT,412,730(365),8 PP/TMU/ROP,R360,256,256,3296,3296,39552,23360,4,412,DX9,DDR(BGA),150nm,115m,AGP8X,4pin,Enthusiast,2003,
Radeon X300,325,400(200),4 PP/TMU/ROP,RV370,128-256,128,1300,1300,15600,6400,2,162.5,DX9,DDR(TSOP),110nm,75m,PCIe16X,no,Lower Mainstream,2004,"RV370 is native PCIe version of RV350, on 110nm process."
Radeon X300SE,325,400(200),4 PP/TMU/ROP,RV370,128-256,64,1300,1300,15600,3200,2,162.5,DX9,DDR(TSOP),110nm,75m,PCIe16X,no,Lower Mainstream,2004,"RV370 is native PCIe version of RV350, on 110nm process."
Radeon X300SE HyperMemory,325,600(300),4 PP/TMU/ROP,RV370SE,32-128,64,1300,1300,15600,8800,2,162.5,DX9,DDR(BGA),110nm,75m,PCIe16X,no,Lower Mainstream,2005,Supports Hyper Memory Technology. (+4GB mem bandwidth through PCIe)
Radeon X550,400,500(250),4 PP/TMU/ROP,RV370XT,128-256,64-128,1600,1600,19200,8000,2,200,DX9,DDR(TSOP/BGA),110nm,75m,PCIe16X,no,Lower Mainstream,2005,
Radeon X600 Pro,400,600(300),4 PP/TMU/ROP,RV380,128-256,128,1600,1600,19200,9600,2,200,DX9,DDR(BGA),130nm,75m,PCIe16X,no,Mainstream,2004,"RV380 is native PCIe version of RV360, on 110nm process."
Radeon X600XT,500,740(370),4 PP/TMU/ROP,RV380,128-256,128,2000,2000,24000,11840,2,250,DX9,DDR(BGA),130nm,75m,PCIe16X,no,Upper Mainstream,2004,"RV380 is native PCIe version of RV360, on 110nm process."
Radeon X700,400,700(350),8 PP/TMU/ROP,RV410,128-256,128,3200,3200,38400,11200,6,600,DX9b,DDR(BGA),110nm,120m,PCIe16X,no,Mainstream,2005,Was never available in retail (OEM?).
Radeon X700LE,400,700(350),8 PP/TMU/ROP,RV410,128-256,128,3200,3200,38400,11200,6,600,DX9b,DDR(BGA),110nm,120m,PCIe16X,no,Mainstream,2005,
Radeon X700 Pro,425,860(430),8 PP/TMU/ROP,RV410,128-256,128,3400,3400,40800,13760,6,637.5,DX9b,GDDR3,110nm,120m,"PCIe16X,AGP8X",either,Upper Mainstream,2005,"AGP version uses Rialto bridge chip, and requires external power."
Radeon X700XT,475,1050(525),8 PP/TMU/ROP,RV410,128-256,128,3800,3800,45600,16800,6,712.5,DX9b,GDDR3,110nm,120m,PCIe16X,no,Upper Mainstream,Unreleased,Was never officially released.
Radeon X800,392,700(350),12 PP/TMU/ROP,R430,128-256,256,4704,4704,56448,22400,6,588,DX9b,GDDR3,110nm,160m,"PCIe16X,AGP8X",either,Upper Mainstream,2004,"AGP version uses Rialto bridge chip, and requires external power."
Radeon X800SE,425,800(400),8 PP/TMU/ROP,"R420,R423,R430",256,256,3400,3400,40800,25600,6,637.5,DX9b,GDDR3,130nm,160m,"PCIe16X,AGP8X",yes,Upper Mainstream,2004,
Radeon X800GT,475,"700(350), 980(490)",8 PP/TMU/ROP,"R423,R480",128-256,256,3800,3800,45600,31360,6,705,DX9b,GDDR3,130nm,~160m,PCIe16X,no,Mainstream,2005,
Radeon X800GTO,400,"700(350), 980(490)",12 PP/TMU/ROP,"R420,423,430,480",128-256,256,4800,4800,57600,31360,6,600,DX9b,GDDR3,130nm,~160m,"PCIe16X,AGP8X",no,Mainstream,2005,
